KPI Name,Value,Date,Notes,Chart Type,Category
Metric Number 1,1007,2024-10-13,,,
Metric Number 1,880,2024-10-20,,,
Metric Number 1,944,2024-10-27,,,
Metric Number 1,966,2024-11-04,,,
Metric Number 1,967,2024-11-11,,,
Metric Number 1,971,2024-11-18,Note for metric 1,,
Metric Number 2,28,2024-10-13,,,
Metric Number 2,27,2024-10-20,,,
Metric Number 2,25,2024-10-27,,,
Metric Number 2,27,2024-11-04,,,
Metric Number 2,28,2024-11-11,,,
Metric Number 2,26,2024-11-18,Note for metric 2,,
Metric Number 3,853,2024-10-13,,,
Metric Number 3,871,2024-10-20,,,
Metric Number 3,809,2024-10-27,,,
Metric Number 3,811,2024-11-04,,,
Metric Number 3,861,2024-11-11,,,
Metric Number 3,848,2024-11-18,Note for metric 3,,
Metric Number 4,615,2024-10-13,,,
Metric Number 4,623,2024-10-20,,,
Metric Number 4,659,2024-10-27,,,
Metric Number 4,687,2024-11-04,,,
Metric Number 4,625,2024-11-11,,,
Metric Number 4,634,2024-11-18,Note for metric 4,,
Metric Number 5,736,2024-10-13,,,
Metric Number 5,694,2024-10-20,,,
Metric Number 5,671,2024-10-27,,,
Metric Number 5,732,2024-11-04,,,
Metric Number 5,676,2024-11-11,,,
Metric Number 5,722,2024-11-18,Note for metric 5,,
Metric Number 6,248,2024-10-13,,,
Metric Number 6,273,2024-10-20,,,
Metric Number 6,241,2024-10-27,,,
Metric Number 6,241,2024-11-04,,,
Metric Number 6,240,2024-11-11,,,
Metric Number 6,259,2024-11-18,Note for metric 6,,
Metric Number 7,872,2024-10-13,,,
Metric Number 7,971,2024-10-20,,,
Metric Number 7,1001,2024-10-27,,,
Metric Number 7,979,2024-11-04,,,
Metric Number 7,858,2024-11-11,,,
Metric Number 7,946,2024-11-18,Note for metric 7,,
Metric Number 8,296,2024-10-13,,,
Metric Number 8,294,2024-10-20,,,
Metric Number 8,304,2024-10-27,,,
Metric Number 8,303,2024-11-04,,,
Metric Number 8,297,2024-11-11,,,
Metric Number 8,289,2024-11-18,Note for metric 8,,
Metric Number 9,540,2024-10-13,,,
Metric Number 9,645,2024-10-20,,,
Metric Number 9,608,2024-10-27,,,
Metric Number 9,567,2024-11-04,,,
Metric Number 9,608,2024-11-11,,,
Metric Number 9,587,2024-11-18,Note for metric 9,,
Metric Number 10,934,2024-10-13,,,
Metric Number 10,940,2024-10-20,,,
Metric Number 10,935,2024-10-27,,,
Metric Number 10,889,2024-11-04,,,
Metric Number 10,940,2024-11-11,,,
Metric Number 10,879,2024-11-18,Note for metric 10,,
Metric Number 11,948,2024-10-13,,,
Metric Number 11,946,2024-10-20,,,
Metric Number 11,888,2024-10-27,,,
Metric Number 11,858,2024-11-04,,,
Metric Number 11,913,2024-11-11,,,
Metric Number 11,884,2024-11-18,Note for metric 11,,
Metric Number 12,746,2024-10-13,,,
Metric Number 12,746,2024-10-20,,,
Metric Number 12,657,2024-10-27,,,
Metric Number 12,793,2024-11-04,,,
Metric Number 12,736,2024-11-11,,,
Metric Number 12,729,2024-11-18,Note for metric 12,,
Metric Number 13,916,2024-10-13,,,
